Payment_Date,Month,Year,Quarter,Period,Organisation_Name,Sector,Total_Amount_N,Current_Payment_N,Arrears_Balance_N,Has_Arrears,Arrears_Only,Compliance_Status,Payment_Day,Payment_Week,End_of_Month_Flag,Implied_Payroll_N
4/1/2024,January,2024,Q1,Q1-2024,Memories and Images Ltd,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,4,1,EARLY_MONTH,10000000.0
4/1/2024,January,2024,Q1,Q1-2024,Alden Forbes Consult Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,4,1,EARLY_MONTH,10000000.0
4/1/2024,January,2024,Q1,Q1-2024,Idango Energy Ltd,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,4,1,EARLY_MONTH,10000000.0
4/1/2024,January,2024,Q1,Q1-2024,Quicka Nigeria Limited,MARITIME AND SHIPPING,1354200.0,1354200.0,0.0,0,0,FULLY_CURRENT,4,1,EARLY_MONTH,135420000.0
5/1/2024,January,2024,Q1,Q1-2024,Amotoi Global Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,5,1,EARLY_MONTH,10000000.0
5/1/2024,January,2024,Q1,Q1-2024,Empire De Panche Services Ltd,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,5,1,EARLY_MONTH,10000000.0
5/1/2024,January,2024,Q1,Q1-2024,Bgam Services Nigeria Ltd,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,5,1,EARLY_MONTH,10000000.0
5/1/2024,January,2024,Q1,Q1-2024,Landsai Energies Company Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,5,1,EARLY_MONTH,10000000.0
5/1/2024,January,2024,Q1,Q1-2024,Watini Engineering and Construction Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,5,1,EARLY_MONTH,10000000.0
9/1/2024,January,2024,Q1,Q1-2024,Fridamek Resources Nigeria Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,9,2,MID_MONTH,10000000.0
8/1/2024,January,2024,Q1,Q1-2024,Sowsco Well Services Nigeria Limited,OIL AND GAS,401022.7,401022.7,0.0,0,0,FULLY_CURRENT,8,2,MID_MONTH,40102270.0
